timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.3705,-4.58,0.0,0.0,-4.28,0.0,0.0,-4.3,-4.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.371,-4.55,0.0,-0.01,-4.27,0.0,0.0,-4.3,-4.5,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3715,-4.53,0.0,0.0,-4.24,0.0,0.0,-4.2,-4.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.372,-4.54,0.0,-0.01,-4.23,0.0,0.0,-4.2,-4.5,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3725,-4.54,0.0,0.0,-4.23,0.0,0.0,-4.2,-4.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.373,-4.52,0.0,-0.02,-4.22,0.0,-0.02,-4.2,-4.5,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.3735,-4.53,0.0,-0.01,-4.23,0.0,0.0,-4.2,-4.5,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.374,-4.55,0.0,-0.01,-4.25,0.0,-0.01,-4.2,-4.5,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.3745,-4.54,0.0,-0.02,-4.24,0.0,0.0,-4.2,-4.5,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.375,-4.52,0.0,-0.01,-4.22,0.0,-0.01,-4.2,-4.5,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.3755,-4.53,0.0,0.0,-4.24,0.0,-0.01,-4.2,-4.5,0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.376,-4.59,0.0,-0.03,-4.48,0.0,0.0,-4.5,-4.6,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3765,-4.66,0.0,-0.01,-5.04,0.0,-0.01,-5.0,-4.7,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.377,-4.68,0.0,-0.01,-5.45,0.0,-0.03,-5.5,-4.7,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.3775,-4.73,0.0,0.0,-5.86,0.0,-0.03,-5.9,-4.7,0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.378,-4.8,0.0,-0.01,-5.94,0.0,0.0,-5.9,-4.8,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3785,-4.81,0.0,-0.01,-5.82,0.0,0.0,-5.8,-4.8,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.379,-4.85,0.0,0.0,-5.65,0.0,0.0,-5.7,-4.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3795,-4.93,0.0,0.0,-5.63,0.0,0.0,-5.6,-4.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.38,-5.0,0.0,0.0,-5.67,0.0,0.0,-5.7,-5.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3805,-5.05,0.0,0.0,-5.75,0.0,-0.01,-5.8,-5.0,0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.381,-5.08,0.0,0.0,-5.81,0.0,0.0,-5.8,-5.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3815,-5.11,0.0,0.0,-5.72,0.0,-0.01,-5.7,-5.1,0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.382,-5.13,0.0,0.0,-5.68,0.0,0.0,-5.7,-5.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3825,-5.15,0.0,0.0,-5.7,0.0,0.0,-5.7,-5.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.383,-5.19,0.0,0.0,-5.76,0.0,0.0,-5.8,-5.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3835,-5.2,0.0,0.0,-5.79,0.0,-0.01,-5.8,-5.2,0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.384,-5.22,0.0,-0.02,-5.76,0.0,-0.01,-5.8,-5.2,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.3845,-5.22,0.0,-0.01,-5.74,0.0,-0.01,-5.7,-5.2,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.385,-5.25,0.0,-0.01,-5.71,0.0,-0.02,-5.7,-5.2,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.3855,-5.28,0.0,-0.01,-5.73,0.0,-0.01,-5.7,-5.3,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.386,-5.36,0.0,0.0,-5.96,0.0,0.0,-6.0,-5.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3865,-5.51,0.0,-0.01,-6.24,0.0,-0.01,-6.2,-5.5,-0.0 (cmd 0.0),-0.0 (cmd 0.0)
0.387,-5.65,0.0,-0.01,-6.96,0.0,0.0,-7.0,-5.7,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.3875,-5.82,0.0,-0.01,-7.87,0.0,0.04,-7.9,-5.8,-0.0 (cmd 0.0),0.0 (cmd 0.0)
0.388,-5.88,0.0,-0.02,-9.96,0.0,0.03,-10.0,-5.9,-0.0 (cmd 0.0),0.0 (cmd 0.0)
